Keyboard Config|键盘设置
Character Data|角色数据
Guild Card Data|公会名片数据
Snapshot Data|快照数据
Press the A button to go to the Title Screen.|按 A 按钮前往标题界面。
Press the A button\nto swicth to the Xbox Dashboard.|按 A 按钮\n切换至 Xbox 仪表盘。
Display Progressive Mode?|是否显示逐行扫描模式？
Please select character.|请选择游戏人物
Dressing Room|更衣室
Recreate|重新创建
This character omits game closing normally. |如果不使用“退出游戏”而结束游戏
Item data etc. is eliminated.|道具可能会丢失
Voice Masking|语音特效
Return from MU|回到MU
Change name|更改名字
Cancel move|取消移动
Please select Player %d's character.|请选择玩家 %d 的角色。
Return a character that\nwas moved to the hard disk.|将转移至硬盘的角色\n归还。
Play with this|以此角色开始游戏
Return to MU|返回存储单元
Moving... \nDo not remove\nthe MU.|正在转移……\n请勿移除\n存储单元。
Original\nCharacter Data\nnot found.\nConnect the MU\ncontaining original\nCharacter Data.|找不到原始\n角色数据。\n请连接包含原始\n角色数据的存储单元。
Would you like\nto move this\ncharacter?|您想转移此\n角色吗？
This character\nwill be returned to\nthe original MU.\nIs this okay?|此角色将被归还至\n原始存储单元。\n确定吗？
This temporary character\nand the same character's\nitem data on the\nhard disk will be deleted.\nIs this okay?|此临时角色以及\n硬盘上该角色的\n道具数据将被删除。\n确定吗？
Please connect controller.|请连接控制器。
You need to connect at least two controllers.|您需要连接至少两个控制器。
No Memory Unit detected in Slot A.\nPlease insert a Memory Unit in Slot A.|插槽 A 中未检测到存储单元。\n请在插槽 A 中插入存储单元。
The Memory Unit in Slot A is damaged\nand needs to be formatted.|插槽 A 中的存储单元已损坏，\n需要进行格式化。
Saving Game Data.\nPlease don't turn off your Xbox console.|正在保存游戏数据。\n请勿关闭 Xbox 主机电源。
Unable to save.\nCannot find the Save file created\nduring start of this game. \n\nPlease insert the original\nMemory Unit into Slot A.|无法保存。\n找不到游戏开始时创建的存档文件。\n\n请将原始存储单元\n插入插槽 A。
The Memory Unit was extracted during save.\n It returns to Title Screen.\n\nPress any button.|保存期间存储单元被拔出。\n正在返回标题界面。\n\n请按任意按钮。
Returning to Game Set Up Selection screen|返回游戏设置选择画面\n
Returning to Character Selection screen|返回角色选择画面
Ending game.|退出游戏
In order to connect to the network,\nthe Nintendo GameCube Modem Adaptor or\nBroadband Adaptor must be inserted properly. \n\nPlease turn the power off to insert\nthe GameCube Modem Adaptor or Broadband Adaptor.|为了连接到网络，\n必须正确插入任天堂 GameCube 调制解调器适配器或\n宽带适配器。\n\n请关闭电源后插入\nGameCube 调制解调器适配器或宽带适配器。
Device connected to Serial Port 1\ncannot be recognized.\n\nUnable to connect to Network.|无法识别连接到串行端口 1 的设备。\n\n无法连接到网络。
no data|无数据
No Memory Unit detected in Slot B.\nPlease insert a Memory Unit in Slot B.|插槽 B 中未检测到存储单元。\n请在插槽 B 中插入存储单元。
The Memory Unit in Slot B is damaged\nand needs to be formatted.\n\nDo you want to format?|插槽 B 中的存储单元已损坏，\n需要进行格式化。\n\n是否进行格式化？
The Memory Unit in Slot B is damaged\nand cannot be used. |插槽 B 中的存储单元已损坏，\n无法使用。
Creating new Snapshot file. \nDo not remove the Memory Unit in Slot B.|正在创建新的快照文件。\n请勿移除插槽 B 中的存储单元。
The Snapshot file in Slot B is damaged\nand must be deleted.|插槽 B 中的快照文件已损坏，\n必须删除。
Now Formatting.\nDo not remove the Memory Unit\nor turn the power off.|正在格式化。\n请勿移除存储单元\n或关闭电源。
The device in Slot B is not supported.\nReplace with a Memory Unit.|插槽 B 中的设备不受支持。\n请更换为存储单元。
Overwrite Snapshot file.\nOK?\n\n A Button : OK\n B Button : Cancel|覆盖快照文件。\n可以吗？\n\n A 按钮：确定\n B 按钮：取消
The Memory Unit in Slot B contains\nno Snapshot file.|插槽 B 中的存储单元不包含\n快照文件。
Are you ready?|准备好了吗？
ID|ＩＤ颜色
Details Off|关闭详细信息
Details On|开启详细信息
Please check that the Serial Number, Access Key,\nand Password are correct.\n\nPress "Yes" to go forward, "No" to go back.|确认序列号、连接密码和密码的正确性\n\n进行下一步请选择“是”，返回请选择“否”
Start Game|开始游戏
Exit Game|结束游戏
Patch Download|更新游戏文件
Register UserID|输入游戏帐号
Empty|游戏帐号未设置
Input UserID|设置游戏帐号
UserID|游戏帐号
Save UserID and Password?|要保存游戏帐号和密码吗？
Really OK?|请问，您真的要结束梦幻之旅吗？
Current Status|更新文件下载进度
All Status|全部
Please press Enter-Key|请按Enter键继续
Patch download done.|更新文件下载完成，请再次启动游戏
If you press Enter-Key then exit game.|※请按回车键结束游戏
Patch download failed.|更新文件下载失败
Press Enter to return to the Title Screen.|※请按回车键返回标题画面
There were no updated files available.|没有被更新的文件
Memory Unit is not inserted.|未插入存储单元。
Select Memory Unit.|选择存储单元。
The Memory Unit in Slot B is\nnot compatible.|插槽 B 中的存储单元\n不兼容。
The Memory Unit in Slot B is damaged\nand needs to be formatted.\nDo you want to format?|插槽 B 中的存储单元已损坏，\n需要进行格式化。\n是否进行格式化？
Download Quest Data\nsave completed.\n\nTo play a downloaded\nquest now,\nplease enter a ship and\nselect [Quit Game].\n\nPress A or START button.|下载任务数据\n保存完成。\n\n如需立即游玩已下载的任务，\n请进入大厅并\n选择 [退出游戏]。\n\n请按 A 或 START 按钮。
Your Xbox doesn't have \nenough free blocks to save\nDownload Quest Data.\n\n<lack block> more free blocks\nare required to save\nthe Download Quest\nto the hard disk.|您的 Xbox 没有足够的\n空闲存储块来保存\n下载任务数据。\n\n将下载任务保存到硬盘\n还需要 个\n空闲存储块。
Download Quest Data\nwith the same name\nalready exists.\nIt overwrites.|已存在同名的\n下载任务数据。\n将进行覆盖。
Saving Download Quest Data.\nPlease don't turn off\nyour Xbox console.|正在保存下载任务数据。\n请勿关闭\n您的 Xbox 主机。
Save your password to the Memory Unit?\n\nThe password must be entered each time\nwhen playing online if it is not saved to\nthe Memory Unit.|是否将密码保存至存储单元？\n\n如果不保存至存储单元，\n每次在线游玩时都必须\n重新输入密码。
You have cleared Challenge Mode,\nRank S. Congratulations!\nYou will be given a prize.|你通过了挑战模式。评价Ｓ级。恭喜你！你会获得一个奖品。
You have cleared Challenge Mode,\nRank B. You will be given a prize.|你通过了挑战模式。评价Ｂ级。你会获得一个奖品。
You have cleared Challenge Mode,\nRank A. You will be given a prize.|你通过了挑战模式。评价Ａ级。你会获得一个奖品。
You have already received a prize.|你已经得到奖品
Your inventory is full--\nyou cannot hold your prize.|道具栏已满，无法得到奖品
Error !!|错误
You have cleared\nthe Challenge Stage. \nCongratulations!|你通过了挑战模式。恭喜你！
Please select an item.|请选择道具
Do not accept future Guild Cards|以后不再接受玩家名片
s Guild Card\nwill be blocked.\n Is this okay?|所有玩家名片将被拒收，可以吗？
Voice Banning|语音开关
Voice: off|关闭语音
No Masking|关闭特效
Masking1|特效１
Masking2|特效２
Masking3|特效３
Masking4|特效４
Masking5|特效５
Standard|标准效果
Are you sure\nyou want to\nchange settings?|确定要改变设置吗？
 's\nVoice will be\nturned ON.\nIs this okay?|确定开启语音吗？
 's \nVoice will be\nturned OFF.\nIs this okay?|确定关闭语音吗？
Voice Masking test.\nVoice that will be heard by\nother people around you.\nEnd with A/START.|语音变声测试。\n这是周围其他人将会\n听到的声音。\n按 A/START 键结束。
Send Player Feedback to Xbox Live?|向 Xbox Live 发送玩家反馈？
Feedback|反馈
Complaints|投诉
Good Attitude|态度良好
Great Session|表现出色
Bad Name|名字违规
Poor Gameplay|游戏水平极差
Spamming or Screaming|刷屏或尖叫
Threats or Harassment|威胁或骚扰
Cursing or Lewdness |咒骂或猥亵
Show connection|显示连接
Hide connection|隐藏连接
Invite %s\nto Phantasy Star Online?|邀请 %s\n加入《梦幻之星在线》？
%s has received an\nInvite from %s.\nAccept Invite?|%s 已收到\n来自 %s 的邀请。\n接受邀请吗？
Accepted Invite|已接受邀请
Declined Invite|已拒绝邀请
Please insert\nthe %s game disc.\n\nPress the B button\nto go to the Title Screen.|请插入\n %s 游戏光盘。\n\n按 B 按钮\n返回标题界面。
Enter the PASS CODE you selected when\nyou created your GAMERTAG.|请输入您在创建\n玩家代号（GAMERTAG）时选择的通行码。
The PASS CODE you entered does not match\nthe registered PASS CODE. \nPlease enter the PASS CODE you registered\nwhen creating your GAMERTAG.\nPress A or START\nto return to the PASS CODE entry screen.|您输入的通行码与\n注册的通行码不匹配。\n请输入您在创建玩家代号时\n注册的通行码。\n按 A 或 START 键\n返回通行码输入界面。
ONLINE GAME|在线游戏
OFFLINE GAME|离线游戏
HOME PAGE|主页
%04d/%02d/%02d|%04d/%02d/%02d
NEW GAME DATA|新游戏数据
If you select\nDelete,\nall character\ndata will be lost.\nIs this okay?|操作将删除所有角色数据，继续吗？
Please select GAME DATA|PleaseselectGAMEDATA
GAMERTAG\nyou used to create Game Data\nno longer exists.\nPlease use your original GAMERTAG.\nPlease press A or START.|GAMERTAG\nyouusedtocreateGameData\nnolongerexists.\nPleaseuseyouroriginalGAMERTAG.\nPleasepressAorSTART.
New Account|NewAccount
Please select GAMERTAG|PleaseselectGAMERTAG
NO GAMERTAG|NOGAMERTAG
MU 1A|MU 1A
MU 1B|MU 1B
MU 2A|MU 2A
MU 2B|MU 2B
MU 3A|MU 3A
MU 3B|MU 3B
MU 4A|MU 4A
MU 4B|MU 4B
Switching to the Xbox Dashboard.\nOkay?|正在切换至 Xbox 仪表盘。\n可以吗？
Is this\nGAMERTAG okay?|这个\n玩家代号（GAMERTAG）可以吗？
Connect to Xbox Live|连接至 Xbox Live
(No.300)\nYour Xbox console cannot connect to Xbox Live.\nPress A to start the troubleshooter or B to cancel.|(No.300)\n您的 Xbox 主机无法连接至 Xbox Live。\n按 A 按钮开始故障排除，或按 B 按钮取消。
(No.301)\nYour Xbox console cannot connect to Xbox Live.\nPress A to start the troubleshooter or B to cancel.|(No.301)\n您的 Xbox 主机无法连接至 Xbox Live。\n按 A 按钮开始故障排除，或按 B 按钮取消。
(No.302)\nYour Xbox console cannot connect to Xbox Live.\nPress A to start the troubleshooter or B to cancel.|(No.302)\n您的 Xbox 主机无法连接至 Xbox Live。\n按 A 按钮开始故障排除，或按 B 按钮取消。
(No.303)\nYou were signed out of Xbox Live \nbecause another person signed on using your account.  \nPress A to continue.|(No.303)\n您已从 Xbox Live 登出，\n因为另一个人正在使用您的账号登录。\n按 A 按钮继续。
(No.304)\nThe Xbox Live service is very busy.  \nPress A to try again or press B to cancel.|(No.304)\nXbox Live 服务非常繁忙。\n按 A 按钮重试，或按 B 按钮取消。
(No.305)\nA required update is available for the Xbox Live service.  \nPress A to update or B to cancel.  \nYou cannot connect to Xbox Live until the update is installed.|(No.305)\nXbox Live 服务有可用的必要更新。\n按 A 按钮进行更新，或按 B 按钮取消。\n在安装更新前，您将无法连接至 Xbox Live。
Update|更新
(No.306)\nYou have a new Xbox Live message.  \nPress A to read the message now, \nor B to read later.|(No.306)\n您有一条新的 Xbox Live 消息。\n按 A 按钮立即阅读消息，\n或按 B 按钮稍后阅读。
read|阅读
read later|稍后阅读
(No.307)\nYou have an important message from Xbox Live.  \nPress A to read the message.|(No.307)\n您有一条来自 Xbox Live 的重要消息。\n按 A 按钮阅读消息。
(No.308)\nYour Xbox console cannot connect to Xbox Live.\nPress A to start the troubleshooter or B to cancel.|(No.308)\n您的 Xbox 主机无法连接至 Xbox Live。\n按 A 按钮开始故障排除，或按 B 按钮取消。
(No.309)\nThis character name cannot\nbe used on Xbox Live. \nPress A to use the Character\nSelect screen\nto rename your character.|(No.309)\n此角色名称无法\n在 Xbox Live 上使用。\n按 A 按钮前往角色选择界面\n为您的角色重命名。
(No.310)\nYou have been\nlogged out of Xbox Live. \n\npress Enter.\n%s|(No.310)\n您已从\nXbox Live 登出。\n\n请按 Enter。\n%s
(No.311)\nThere's no connection available,\nplease check your cable.\n\nPRESS Enter.\n%s|(No.311)\n无可用连接，\n请检查您的网线。\n\n请按 Enter。\n%s
(No.312)\nYou were signed out of\nXbox Live because\nanother person signed on\nusing your account.\nPRESS Enter.|(No.312)\n您已从\nXbox Live 登出，因为\n另一个人正在使用您的账号\n登录。\n请按 Enter。
(No.313)\nYou have been\nlogged out of Xbox Live\ndue to overcrowding on\nthe Xbox Live service.\npress Enter.|(No.313)\n由于 Xbox Live \n服务过载，您已从\nXbox Live 登出。\n请按 Enter。
(No.314)\nThere is an update required\nfor connection to Xbox Live.\n\npress Enter.\n%s|(No.314)\n连接至 Xbox Live \n需要进行更新。\n\n请按 Enter。\n%s
(No.315)\nA valid Hunter's License is required.\nPress A to use the Options Screen\nto purchase a Hunter's License.|(No.315)\n需要有效的猎人执照。\n按 A 按钮前往选项界面\n购买猎人执照。
Re-connect to\ncontroller port %d,\nand continue the game.|请重新连接\n控制器端口 %d，\n以继续游戏。
Re-connect to\ncontroller port,\nand continue the game.|请重新连接\n控制器端口，\n以继续游戏。
The network configuration is not performed.\nPlease try again\nafter an account has been issued.\n\nPress A or START button\nto swicth to the Xbox Dashboard.|尚未进行网络配置。\n请在账号签发后\n重试。\n\n按 A 按钮或 START 按钮\n切换至 Xbox 仪表盘。
LV%d|LV%d
Want to create\nnew Play\nCharacter?|是否要创建\n新的游戏角色？
Change the\ncostume of this\ncharacter?|要更改此角色的\n服装吗？
<Warning>\nThis character has been moved to\na different MU, as a temporary character. \nThe move can be cancelled,\nbut this will result in a loss of all items,\nand you will not be able to return the\nmoved Character Data to hard disk.\nIs this okay?|<警告>\n此角色已被作为临时角色转移到了\n不同的存储单元（MU）。\n转移状态可以取消，\n但这会导致丢失所有道具，\n并且您将无法再将转移的角色数据返回硬盘。\n可以吗？
This temporary\ncharacter and same\ncharaceter's item\ndata in hard disk\nwill be deleted.\nIs this okay?|此临时角色以及\n硬盘上该角色的\n道具数据将被删除。\n确定吗？
Entry: Press the A button|加入：按 A 按钮
%s\nUnable to load\nCharacter Data.\nCharacter Data is\ndamaged.|%s\n无法加载\n角色数据。\n角色数据\n已损坏。
Unable to load Character Data.\nCharacter Data is damaged.\nPress the A button or START button \nto go to the Title Screen.|无法加载角色数据。\n角色数据已损坏。\n按 A 按钮或 START 按钮\n前往标题界面。
\nPress A or START.\n|\n请按 A 或 START。\n
This character in\n%s and the \nsame character's\nitem data\non the hard disk\nwill be deleted.\nOverwrite?|位于 %s 的此角色以及\n硬盘上该角色的\n道具数据\n将被删除。\n是否覆盖？
Not enough\nfree blocks to\nmove character\nto %s.\n%d blocks\nare required.|没有足够的\n空闲存储块来将\n角色转移至 %s。\n需要 %d 个存储块。
Cannot move,\nsame character\nexists on\nthe hard disk.|无法转移，\n硬盘上已存在\n相同的角色。
The character on\n%s has been\nmoved.|位于 %s 的角色\n已被转移。
This is a different\ncharacter.|这是不同的\n角色。
Character move\ncancellation failed.|角色转移取消失败。
Deletion of\ntemporary\ncharacter failed.|删除临时角色失败。
Character \nmove failed.|角色转移失败。
The chosen\ncharacter has\nbeen moved.|所选角色\n已被转移。
No character data\nfound on %s.|在 %s 上未发现角色数据。
Memory Unit is\nnot connected.|未连接存储单元。
Character's move status has been cancelled.|角色的转移状态已取消。
Temporary character\ndeleted.|临时角色已删除。
Character moved.|角色已转移。
Select a character to move.|选择要转移的角色。
Move \nthis character?|转移\n此角色吗？
free blocks:%d|空闲存储块：%d
Greeting motion|问候
Interaction motion|交流
Emotion motion|感情
Acrobatic motion|灵活动作
Entertainment Motion|娱乐动作
Standard motion|通常动作
Battle motion|战斗动作
Photon Chair|光子椅
Photon Chair1|光子椅１
Photon Chair2|光子椅２
Greeting1|单手挥手
Greeting2|双手挥手
Greeting3|日式鞠躬
Greeting4|贵族礼仪
Salutation|敬礼
Affirmative|肯定
Negative|否定
Question|疑问
Applause|拍手
Come over here|招手
"Sorry!"|对不起！
"Wow!"|噢！
"Dang it!"|难过！
"I'm bored."|真无聊
Jump|跳跃
Side roll|旋转
Cartwheel|侧手翻
Somersault|前手翻
Back roll|后手翻
Backflip|后空翻
Dance1|跳舞１
Dance2|跳舞２
Victory Pose 1|胜利姿势１
Victory Pose 2|胜利姿势２
Victory Pose 3|胜利姿势３
Kiss|亲吻
Blow a kiss|飞吻
Switch|开关
Guard|防御
Big Damage|大伤害
Small Damage|小伤害
Wait|等待
Attack1|攻击１
Attack2|攻击２
Attack3|攻击３
Attack4|攻击４
Attack5|攻击５
Attack6|攻击６
Technique1|魔法１
Technique2|魔法２
Photon Blast1|光子爆发１
Photon Blast2|光子爆发２
Photon Blast3|光子爆发３
Photon Blast4|光子爆发４
Photon Blast5|光子爆发５
Man|男性
Woman|女性
Tax not|不含税
Tax|含税
GST|消费税 (GST)
VAT|增值税 (VAT)
These goods are already purchase settled. \nPlease push a A/START button.|这些商品已经结算完成。\n请按 A/START 按钮。
Go to purchase screen|前往购买界面
Purchase|购买
Do you want to\nfight the same\nrules?|再以同样的规则进行一次决斗吗？
I'm sorry that you\nweren't able to do\nit. Please try again.\n\nTransporting to the\nvisual lobby.\npress Enter.|与对手的连接中断了\n您将被传送回大厅，请按开始键
PARTY battle ok.\nA-PARTY\n  %s\n  %s\nB-PARTY\n  %s\n  %s|即将开始的是组队战\nＡ队\n%s\n%s\nＢ队\n%s\n%s
"%s"\nServer <something>\nUnable to enter.|「%s」\n服务器停止\n无法进入
"%s"\nServer full. Please choose a different server.|%s\n服务器已满。请选择其他服务器.
This room is full|人数已满
Password is incorrect|密码错误
Information Message|通知信息
%s is bursting.\nPlease Wait 30 seconds.|%s正在传送中，请等待３０秒后再进入这个房间
The team is not found.|未发现队伍
Server maintenance is\ndone after %d minutes.\nQuit the game immediately.\n|%d分后服务器检修\n请尽快退出游戏
Quest is already in play.|任务中，无法参加
You need %d level\nto play the Normal \nmode.\n|普通模式\n只有%d级以上的玩家才能进入
You need %d level\nto play the Hard \nmode.\n|困难模式\n只有%d级以上的玩家才能进入
You need %d level\nto play the very\nHard mode.\n|极难模式\n只有%d级以上的玩家才能进入
You need %d level\nto play the ultimate\nmode.\n|极限模式\n只有%d级以上的玩家才能进入
This team is Ver.2 only.|这个队伍为Ver.2专用
An incorrect item was detected from %s.|%s被侦测出持有修改道具
Your account for PSO server has been suspended.\nUnable to play online game for %d more hour(s).|目前您无法使用PSO的服务器\n停止使用时间为%d小时\n在上述时间内，您无法进行在线游戏
You will be automatically\ndisconnected from\nPSO server in %d seconds.\n|%d秒后PSO服务器\n将自动断线
This function is not offered now.|本功能尚未提供
"%s"\n%d Users\n%d Partys|「%s」\n%d用户\n%d队伍
Congratulations! You've reached LV %d!\nThis is the level cap for the Trial Version.\nTo continue your game experience,\nplease purchase a Hunter's License!|恭喜。您已经达到%d级\n免费体验期到%d级自动结束\n想继续游戏请购买猎人执照
You are at LV %d.\nThis is the level cap for the Trial Version.\nTo continue your game experience,\nplease purchase a Hunter's License!|等级达到%d级。免费体验期还有%d分钟即将结束\n想继续游戏请购买猎人执照
Trial Version Ended.\nYour time will expire\nin %d minutes.|免费体验期结束\n离强制结束还有%d分钟
The Trial Version has ended.\nTo continue your game experience,\nplease purchase a Hunter's License.\n\nWhat you have seen here is only a small part of the game!\nMany more adventures await you and your fellow hunters\nis the "PHANTASY STAR ONLINE Blue Burst" world!\nDon't miss out on this chance -- purchase a Hunter's License and adventure on!|免费体验期结束\n想继续游戏需要购买猎人执照\n\n您所玩到的是游戏中的一小部分\n『PHANTASYSTARONLINEBlueBurst』中\n还准备了很多大家所不知的冒险\n下次欢迎购买猎人执照继续体验
Your Hunter's License has expired.\nTo continue your game experience,\nvisit the Support Page for information on renewing your license.|点卡的有效期已到期\n如果想继续游戏，请到\n『客服页面』『购买猎人执照』
You have not progressed far\nenough to accept this quest.|现在还无法参加此任务。
To play Hard Mode, please clear\nthe Principal's quests in Normal Mode.|挑战困难模式需要先完成普通模式中总督府的所有任务
To play Very Hard Mode, please clear\nthe Principal's quests in Hard Mode.|挑战极难模式需要先完成普通模式中总督府的所有任务
To play Ultimate Mode, please clear\nthe Principal's quests in Very Hard Mode.|挑战极限模式需要先完成普通模式中总督府的所有任务
To play Hard Mode, please clear\nthe Lab's quests in Normal Mode.|挑战困难模式需要先完成普通模式中实验室的所有任务
To play Very Hard Mode, please clear\nthe Lab's quests in Hard Mode.|挑战极难模式需要先完成普通模式中实验室的所有任务
To play Ultimate Mode, please clear\nthe Lab's quests in Very Hard Mode.|挑战极限模式需要先完成普通模式中实验室的所有任务
You account has been banned from the current PSO servers.\nYou cannot play the online game.|您的账号现在已停止使用\n无法进行在线游戏
Program terminated due to data synchronization error.\nError No: %s|数据同步时发生错误，自动断开连接\n错误号：%s
Transport cancelled.|取消传输
Canceling transport.|取消传输。
Returning to Ship Select.|返回服务器选择画面
Circuit disconnected.|断开连接，结束游戏
You must purchase a Hunter License's\nin order to play in this mode.|想要享受这个模式的乐趣，必须购买猎人执照。
%d|您的剩余点卡时间还剩余%d分钟
disconnected.|您的点卡时间已耗尽
not installed episode4.|还没有安装４章客户端
not episode4 account.|非 Episode 4 账号。
You are carrying Item Coupon in your pocket.\n\n< NOTICE >\nYou receive only one Item Coupon for one Game ID.\nBe careful that if you delete your character now and re-create new one,\nthe item, which already is in the character's savedata, will be gone!\nPlease note that the item cannot be recovered after the removal.\n\n< QUEST GUIDE >\nTake a quest and you can exchange an Item Coupon with a rare item.\n(Guild Counter > Present > Item Present)\nPlease refer to the official site (http://psobb.jp/) for more detail.|你的口袋里放着一张道具券。\n\n< 注意 >\n每个游戏 ID 只能领取一张道具券。\n请注意，如果你现在删除角色并重新创建新角色，\n已经保存在该角色存档中的道具将会消失！\n请务必知晓，道具一旦移除将无法恢复。\n\n< 任务指南 >\n接取任务，你就可以用道具券兑换稀有道具。\n（公会柜台 > 礼品 > 道具赠送）\n详情请参考官方网站 (http://psobb.jp/)。
Your chat  function has been suspended.\nUnable to use it for %d more hour(s).|目前您已被停止使用聊天功能\n停止使用时间为%d小时\n在上述时间内，您无法使用聊天功能
Opening connection to PSOBB server.|正在开启与 PSOBB 服务器的连接。
Sending game configuration data.|接收游戏设置数据
Sending character data.|接收角色数据
Sending Guild Card data.|接收名片数据
Connecting to PSOBB Lobby server.|ＰＳＯＢＢ正在连接大厅服务器，请稍候
(No901)\nUnable to obtain server address.\nPlease confirm your DNS settings.|(No.901)\n无法取得服务器地址。\n请确认DNS设置。
(No902)\nNetwork initialization failed.\nPlease check your Internet connection settings.|(No.902)\n网络初始化失败。\n请确认网络连接设置。
(No903)\nServer connection failed.\nThe server may be under maintenance.\nPlease check the current news updates on the Official Site.|(No.903)\n服务器连接失败。\n服务器可能正在进行维护。\n请在官方网站确认更新。
(No904)\nIncorrect Game ID or Game Password.|(No.904)\n游戏ID或者密码不正确。
(No905)\nIncorrect Game ID or Game Password.|(No.905)\n游戏帐号或密码出现错误。
(No906)\nThis server is under maintenance.\nPlease see the Official Site for details.|(No.906)\n服务器维护中。\n详细情况请参见官方网站。
(No907)\nForced server disconnect.\nPlease check your Game ID and individual settings.|(No.907)\n服务器强制断开连接。\n请确认游戏ID等各种设置。
(No903)\nPatch server connection failed.\nThe server may be under maintenance.\nPlease check the current news updates on the Official Site.|(No.908)\n连接补丁服务器失败。\n服务器可能正在进行维修。\n请在官方网站确认更新。
(No909)\nIncorrect Game ID or Game Password.|(No.909)\n游戏帐号或密码不正确。请检查自己的帐号密码。
(No910)\nThis Game ID has been suspended.|(No.910)\n现在此ID已停止使用。
(No911)\nThis Game ID is in use by another user.|(No.911)\n已有人在使用此ID。
(No912)\nNo record for this Game ID.\nPlease register your user information at the Official Site.|(No.912)\n此ID尚未注册。\n请在官方网站进行用户注册。
(No913)\nYour paid time has expired.\nPlease renew your account at the Official Site.|(No.913)\n使用权已过期。请在官方网站购买新的使用权
(No914)\nDue to the program not being shut down properly, data is locked. Please try connecting again in 10 minutes.|(No.914)\n因为没有正常退出，现在数据处于锁定状态。10分钟左右后解锁，请到时再进行连接。
(No915)\nThis program has not been updated.  The patch may not have run properly.  Please try shutting down and restarting the program.\nThe most recent news updates can be found on the Official Site.|(No.915)\n此程序未更新至最新版本。补丁可能没有正常运行。请终止并重启游戏。\n请在官方网站确认更新。
(No916)\nThis server is full.\nPlease try connecting again later.|(No.916)\n服务器忙。\n请稍后再连接。
               |               
VIRIDIA|铬绿
GREENILL|翠绿
SKYLY|天青
BLUEFULL|纯蓝
PURPLENUM|淡紫
PINKAL|粉红
REDRIA|真红
ORAN|橙黄
YELLOWBOZE|金黄
WHITILL|羽白
???????\n\n|???????\n\n
Photon Fuser|光子融合器           
placeholder DS|占位符 DS
CELESTIAL GARMENT|天国圣衣
Placeholder RING|占位戒指
placeholder CHAOS AURA|占位混沌光环
placeholder item|占位道具
Tormentorr|折磨者
\tCGA shiny green shard \nfound in a crater.\nThere is someone \nwho needs this...|\tCG在陨石坑中发现的\n闪耀着绿光的碎片。\n似乎有人在回收这种物品
A mysterious Photon.\nThere is someone who \nneeds this...|一种神秘的光子。\n似乎有人在回收这种物品
\tCGA secret cane that boosts\npower of techniques.|\tCG一根可以提升法术威力的\n秘密长杖。
\tCGA secret cane that boosts\npower of techniques.|\tCG一根可以提升法术威力的\n秘密长杖。
\tCGA holiness saber that boosts Gifoie, Rafoie and Gibarta.\nIn addition, boosts player's DFP.|\tCG一把带有神圣气息的小剑，可强化炎狱、火墙与冰箭术。\n此外，还能增加玩家的防御力。
\tCGA pair of holiness blades\nthat boosts Foie, Rafoie\nand Gibarta.\nIn addition, boosts player's EVP.|\tCG一对带有神圣气息的双刃，\n可强化火球、炎狱\n与冰箭术。\n此外，还能增加玩家的回避力。
Special Armor that contains\ngreat power of light magic.|蕴含强大光魔法力量的\n特殊铠甲。
\tCGThe perfected form\nof the Primal Nexus.\nIts eternal core unleashes\nunparalleled power in\ncertain offensive spells.|\tCG原初枢纽的最终完成体。\n其永恒的核心能让特定的\n攻击法术释放出无与伦比的威力。
\tCGA pair of immortality wings\nthat contains mighty power.\nIt enhances All Ra techniques.|\tCG一对蕴含强大力量的不朽之翼。\n它能强化所有的高级法术。
FIXED:RECOMMEND|定型文：推荐
FIXED:GREETINGS|定型文：问候语
FIXED:ANSWERS|定型文：回答
FIXED:IN THE LOBBY|定型文：大厅内
FIXED:IN THE CITY|定型文：城市内
FIXED:IN THE AREA|定型文：区域内
FIXED:IN THE BATTLE|定型文：战斗中
FIXED:BATTLE MODE|定型文：战斗模式
FIXED:CHALLENGE MODE|定型文：挑战模式
FIXED:BEFORE THE ADVENTURE/NEXT PLAN|定型文：冒险前／下步计划
FIXED:INTRODUCTION|定型文：自我介绍
CREATE A QUESTION|创建问题
CREATE A CONVERSATION|创建对话
LIST ALL|显示全部
Fixed:Greetings|定型文：问候
Fixed:Reply/Confirmation|定型文：回答／确认
Fixed:Invitation to party|定型文：组队邀请
Fixed:About an adventure|定型文：关于冒险
Fixed:Want to make a team|定型文：想组队
Fixed:Want to trade|定型文：想交易
Fixed:Want to get to know someone|定型文：想认识别人
Fixed:Want to set a meeting point|定型文：想约定见面地点
Fixed:Other|定型文：其他
Fixed:Inside Pioneer 2|定型文：先驱者2号内
Fixed:Point out a direction|定型文：指示方向
Fixed:Confirm situation|定型文：确认情况
Fixed:About TECHNIQUEs|定型文：关于法术
Fixed:About traps|定型文：关于陷阱
Fixed:About preparations/plans|定型文：关于准备／计划
Fixed:About rescue signals|定型文：关于求救信号
Fixed:About enemies|定型文：关于敌人
Fixed:About adventure goals|定型文：关于冒险目标
Fixed:About items|定型文：关于道具
Fixed:Before battle|定型文：战斗前
Fixed:Calling out|定型文：呼叫
Fixed:After battle|定型文：战斗后
Fixed:Recommended answer|定型文：推荐回答
What|什么
Where|哪里
Which|哪个
When|何时
Who|谁
How|如何
TOPIC: ITEM|主题：道具
TOPIC: WEAPON(HUNTER)|主题：武器（战士）
TOPIC: WEAPON(RANGER)|主题：武器（枪手）
